year,geo,occ,wage_rate
2018,Alberta,Professional occupations in education services [40],1354.51
1997,Alberta,"Professional occupations in law and social, community and government services [41]",658.46
1998,Alberta,"Professional occupations in law and social, community and government services [41]",729.52
1999,Alberta,"Professional occupations in law and social, community and government services [41]",844.57
2000,Alberta,"Professional occupations in law and social, community and government services [41]",861.15
2001,Alberta,"Professional occupations in law and social, community and government services [41]",906.09
2002,Alberta,"Professional occupations in law and social, community and government services [41]",887.11
2003,Alberta,"Professional occupations in law and social, community and government services [41]",940.33
2004,Alberta,"Professional occupations in law and social, community and government services [41]",991.51
2005,Alberta,"Professional occupations in law and social, community and government services [41]",1050.24
2006,Alberta,"Professional occupations in law and social, community and government services [41]",1059.86
2007,Alberta,"Professional occupations in law and social, community and government services [41]",1137.31
2008,Alberta,"Professional occupations in law and social, community and government services [41]",1181.1
2009,Alberta,"Professional occupations in law and social, community and government services [41]",1237.54
2010,Alberta,"Professional occupations in law and social, community and government services [41]",1225.96
2011,Alberta,"Professional occupations in law and social, community and government services [41]",1281.32
2012,Alberta,"Professional occupations in law and social, community and government services [41]",1300.3
2013,Alberta,"Professional occupations in law and social, community and government services [41]",1471.39
2014,Alberta,"Professional occupations in law and social, community and government services [41]",1445.86
2015,Alberta,"Professional occupations in law and social, community and government services [41]",1496.59
2016,Alberta,"Professional occupations in law and social, community and government services [41]",1534.26
2017,Alberta,"Professional occupations in law and social, community and government services [41]",1450.26
2018,Alberta,"Professional occupations in law and social, community and government services [41]",1578.95
1997,Alberta,"Paraprofessional occupations in legal, social, community and education services [42]",409.06
1998,Alberta,"Paraprofessional occupations in legal, social, community and education services [42]",420.43
1999,Alberta,"Paraprofessional occupations in legal, social, community and education services [42]",426.05
2000,Alberta,"Paraprofessional occupations in legal, social, community and education services [42]",397.85
2001,Alberta,"Paraprofessional occupations in legal, social, community and education services [42]",463.49
2002,Alberta,"Paraprofessional occupations in legal, social, community and education services [42]",462.5
2003,Alberta,"Paraprofessional occupations in legal, social, community and education services [42]",447.79
2004,Alberta,"Paraprofessional occupations in legal, social, community and education services [42]",443.63
2005,Alberta,"Paraprofessional occupations in legal, social, community and education services [42]",532.44
2006,Alberta,"Paraprofessional occupations in legal, social, community and education services [42]",582.79
2007,Alberta,"Paraprofessional occupations in legal, social, community and education services [42]",611.43
2008,Alberta,"Paraprofessional occupations in legal, social, community and education services [42]",653.04
2009,Alberta,"Paraprofessional occupations in legal, social, community and education services [42]",731.23
2010,Alberta,"Paraprofessional occupations in legal, social, community and education services [42]",669.13
2011,Alberta,"Paraprofessional occupations in legal, social, community and education services [42]",628.62
2012,Alberta,"Paraprofessional occupations in legal, social, community and education services [42]",689.45
2013,Alberta,"Paraprofessional occupations in legal, social, community and education services [42]",749.04
2014,Alberta,"Paraprofessional occupations in legal, social, community and education services [42]",749.06
2015,Alberta,"Paraprofessional occupations in legal, social, community and education services [42]",710.02
2016,Alberta,"Paraprofessional occupations in legal, social, community and education services [42]",737.72
2017,Alberta,"Paraprofessional occupations in legal, social, community and education services [42]",767.56
2018,Alberta,"Paraprofessional occupations in legal, social, community and education services [42]",829.28
1997,Alberta,Occupations in front-line public protection services [43],865.12
1998,Alberta,Occupations in front-line public protection services [43],880.15
1999,Alberta,Occupations in front-line public protection services [43],934.94
2000,Alberta,Occupations in front-line public protection services [43],971.35
2001,Alberta,Occupations in front-line public protection services [43],1037.3
2002,Alberta,Occupations in front-line public protection services [43],1025.82
2003,Alberta,Occupations in front-line public protection services [43],1008.95
2004,Alberta,Occupations in front-line public protection services [43],1050.23
2005,Alberta,Occupations in front-line public protection services [43],1099.68
2006,Alberta,Occupations in front-line public protection services [43],1171.89
2007,Alberta,Occupations in front-line public protection services [43],1277.9
2008,Alberta,Occupations in front-line public protection services [43],1221.07
2009,Alberta,Occupations in front-line public protection services [43],1405.09
2010,Alberta,Occupations in front-line public protection services [43],1367.67
2011,Alberta,Occupations in front-line public protection services [43],1348.57
2012,Alberta,Occupations in front-line public protection services [43],1420.66
2013,Alberta,Occupations in front-line public protection services [43],1475.65
2014,Alberta,Occupations in front-line public protection services [43],1525.02
2015,Alberta,Occupations in front-line public protection services [43],1504.97
2016,Alberta,Occupations in front-line public protection services [43],1757
2017,Alberta,Occupations in front-line public protection services [43],1883.14
2018,Alberta,Occupations in front-line public protection services [43],1794.48
1997,Alberta,"Care providers and educational, legal and public protection support occupations [44]",346.35
1998,Alberta,"Care providers and educational, legal and public protection support occupations [44]",380.49
1999,Alberta,"Care providers and educational, legal and public protection support occupations [44]",325.45
2000,Alberta,"Care providers and educational, legal and public protection support occupations [44]",345.68
2001,Alberta,"Care providers and educational, legal and public protection support occupations [44]",368.23
2002,Alberta,"Care providers and educational, legal and public protection support occupations [44]",402.48
2003,Alberta,"Care providers and educational, legal and public protection support occupations [44]",405.02
2004,Alberta,"Care providers and educational, legal and public protection support occupations [44]",400.85
2005,Alberta,"Care providers and educational, legal and public protection support occupations [44]",404.52
2006,Alberta,"Care providers and educational, legal and public protection support occupations [44]",470.79
2007,Alberta,"Care providers and educational, legal and public protection support occupations [44]",507.44
2008,Alberta,"Care providers and educational, legal and public protection support occupations [44]",539.72
2009,Alberta,"Care providers and educational, legal and public protection support occupations [44]",549.99
2010,Alberta,"Care providers and educational, legal and public protection support occupations [44]",557.36
2011,Alberta,"Care providers and educational, legal and public protection support occupations [44]",587.12
2012,Alberta,"Care providers and educational, legal and public protection support occupations [44]",632.67
2013,Alberta,"Care providers and educational, legal and public protection support occupations [44]",597.55
2014,Alberta,"Care providers and educational, legal and public protection support occupations [44]",681.83
2015,Alberta,"Care providers and educational, legal and public protection support occupations [44]",633.37
2016,Alberta,"Care providers and educational, legal and public protection support occupations [44]",724.59
2017,Alberta,"Care providers and educational, legal and public protection support occupations [44]",741.5
2018,Alberta,"Care providers and educational, legal and public protection support occupations [44]",747.72
1997,Alberta,"Occupations in art, culture, recreation and sport [5]",495.6
1998,Alberta,"Occupations in art, culture, recreation and sport [5]",549.52
1999,Alberta,"Occupations in art, culture, recreation and sport [5]",478.25
2000,Alberta,"Occupations in art, culture, recreation and sport [5]",540.08
2001,Alberta,"Occupations in art, culture, recreation and sport [5]",490.02
2002,Alberta,"Occupations in art, culture, recreation and sport [5]",530.19
2003,Alberta,"Occupations in art, culture, recreation and sport [5]",501.69
2004,Alberta,"Occupations in art, culture, recreation and sport [5]",525.89
2005,Alberta,"Occupations in art, culture, recreation and sport [5]",597.42
2006,Alberta,"Occupations in art, culture, recreation and sport [5]",631.16
2007,Alberta,"Occupations in art, culture, recreation and sport [5]",663.47
2008,Alberta,"Occupations in art, culture, recreation and sport [5]",711.5
2009,Alberta,"Occupations in art, culture, recreation and sport [5]",721.81
2010,Alberta,"Occupations in art, culture, recreation and sport [5]",740.42
2011,Alberta,"Occupations in art, culture, recreation and sport [5]",706.25
2012,Alberta,"Occupations in art, culture, recreation and sport [5]",739.35
2013,Alberta,"Occupations in art, culture, recreation and sport [5]",765.49
2014,Alberta,"Occupations in art, culture, recreation and sport [5]",816.41
2015,Alberta,"Occupations in art, culture, recreation and sport [5]",744.62
2016,Alberta,"Occupations in art, culture, recreation and sport [5]",712.59
2017,Alberta,"Occupations in art, culture, recreation and sport [5]",705.92
2018,Alberta,"Occupations in art, culture, recreation and sport [5]",720.51
1997,Alberta,Professional occupations in art and culture [51],600.62
1998,Alberta,Professional occupations in art and culture [51],636.09
1999,Alberta,Professional occupations in art and culture [51],592.62
2000,Alberta,Professional occupations in art and culture [51],618.15
2001,Alberta,Professional occupations in art and culture [51],630.55
2002,Alberta,Professional occupations in art and culture [51],673.53
2003,Alberta,Professional occupations in art and culture [51],619.87
2004,Alberta,Professional occupations in art and culture [51],654.69
2005,Alberta,Professional occupations in art and culture [51],807.85
2006,Alberta,Professional occupations in art and culture [51],816.94
2007,Alberta,Professional occupations in art and culture [51],903.88
2008,Alberta,Professional occupations in art and culture [51],852.77
2009,Alberta,Professional occupations in art and culture [51],871.44
2010,Alberta,Professional occupations in art and culture [51],957.72
2011,Alberta,Professional occupations in art and culture [51],831.97
2012,Alberta,Professional occupations in art and culture [51],945.95
2013,Alberta,Professional occupations in art and culture [51],900.62
2014,Alberta,Professional occupations in art and culture [51],1108.41
2015,Alberta,Professional occupations in art and culture [51],974.58
2016,Alberta,Professional occupations in art and culture [51],948.15
2017,Alberta,Professional occupations in art and culture [51],872.42
2018,Alberta,Professional occupations in art and culture [51],944.99
1997,Alberta,"Technical occupations in art, culture, recreation and sport [52]",446.13
1998,Alberta,"Technical occupations in art, culture, recreation and sport [52]",502.85
1999,Alberta,"Technical occupations in art, culture, recreation and sport [52]",445.68
2000,Alberta,"Technical occupations in art, culture, recreation and sport [52]",512.57
2001,Alberta,"Technical occupations in art, culture, recreation and sport [52]",440.14
2002,Alberta,"Technical occupations in art, culture, recreation and sport [52]",461.92
2003,Alberta,"Technical occupations in art, culture, recreation and sport [52]",449.91
2004,Alberta,"Technical occupations in art, culture, recreation and sport [52]",485.8
2005,Alberta,"Technical occupations in art, culture, recreation and sport [52]",526.84
2006,Alberta,"Technical occupations in art, culture, recreation and sport [52]",571.15
2007,Alberta,"Technical occupations in art, culture, recreation and sport [52]",585.22
2008,Alberta,"Technical occupations in art, culture, recreation and sport [52]",656.4
2009,Alberta,"Technical occupations in art, culture, recreation and sport [52]",678.7
2010,Alberta,"Technical occupations in art, culture, recreation and sport [52]",686.85
2011,Alberta,"Technical occupations in art, culture, recreation and sport [52]",666.69
2012,Alberta,"Technical occupations in art, culture, recreation and sport [52]",664.64
2013,Alberta,"Technical occupations in art, culture, recreation and sport [52]",728.21
2014,Alberta,"Technical occupations in art, culture, recreation and sport [52]",719.05
2015,Alberta,"Technical occupations in art, culture, recreation and sport [52]",663.48
2016,Alberta,"Technical occupations in art, culture, recreation and sport [52]",638.04
2017,Alberta,"Technical occupations in art, culture, recreation and sport [52]",649.5
2018,Alberta,"Technical occupations in art, culture, recreation and sport [52]",648.02
1997,Alberta,Sales and service occupations [6],331.14
1998,Alberta,Sales and service occupations [6],334.51
1999,Alberta,Sales and service occupations [6],351.43
2000,Alberta,Sales and service occupations [6],364.87
2001,Alberta,Sales and service occupations [6],378.92
2002,Alberta,Sales and service occupations [6],400.53
2003,Alberta,Sales and service occupations [6],402.85
2004,Alberta,Sales and service occupations [6],400.27
2005,Alberta,Sales and service occupations [6],440.99
2006,Alberta,Sales and service occupations [6],462.88
2007,Alberta,Sales and service occupations [6],514
2008,Alberta,Sales and service occupations [6],537.09
2009,Alberta,Sales and service occupations [6],536.25
2010,Alberta,Sales and service occupations [6],550.45
2011,Alberta,Sales and service occupations [6],550.78
2012,Alberta,Sales and service occupations [6],580.13
2013,Alberta,Sales and service occupations [6],614.5
2014,Alberta,Sales and service occupations [6],605.12
2015,Alberta,Sales and service occupations [6],629.56
2016,Alberta,Sales and service occupations [6],617.36
2017,Alberta,Sales and service occupations [6],625.51
2018,Alberta,Sales and service occupations [6],651.18
1997,Alberta,Retail sales supervisors and specialized sales occupations [62],644.21
1998,Alberta,Retail sales supervisors and specialized sales occupations [62],628.93
1999,Alberta,Retail sales supervisors and specialized sales occupations [62],661.02
2000,Alberta,Retail sales supervisors and specialized sales occupations [62],690.32
2001,Alberta,Retail sales supervisors and specialized sales occupations [62],701.34
2002,Alberta,Retail sales supervisors and specialized sales occupations [62],736
2003,Alberta,Retail sales supervisors and specialized sales occupations [62],767.69
2004,Alberta,Retail sales supervisors and specialized sales occupations [62],702.91
2005,Alberta,Retail sales supervisors and specialized sales occupations [62],777.16
2006,Alberta,Retail sales supervisors and specialized sales occupations [62],800.11
2007,Alberta,Retail sales supervisors and specialized sales occupations [62],852.57
2008,Alberta,Retail sales supervisors and specialized sales occupations [62],880.05
2009,Alberta,Retail sales supervisors and specialized sales occupations [62],886.24
2010,Alberta,Retail sales supervisors and specialized sales occupations [62],918.84
2011,Alberta,Retail sales supervisors and specialized sales occupations [62],918.21
2012,Alberta,Retail sales supervisors and specialized sales occupations [62],934.47
2013,Alberta,Retail sales supervisors and specialized sales occupations [62],1038.9
2014,Alberta,Retail sales supervisors and specialized sales occupations [62],987.93
2015,Alberta,Retail sales supervisors and specialized sales occupations [62],1080.65
2016,Alberta,Retail sales supervisors and specialized sales occupations [62],1043.22
2017,Alberta,Retail sales supervisors and specialized sales occupations [62],1030.12
2018,Alberta,Retail sales supervisors and specialized sales occupations [62],1015.47
1997,Alberta,Service supervisors and specialized service occupations [63],344.87
1998,Alberta,Service supervisors and specialized service occupations [63],320.9
1999,Alberta,Service supervisors and specialized service occupations [63],367.55
2000,Alberta,Service supervisors and specialized service occupations [63],363.67
2001,Alberta,Service supervisors and specialized service occupations [63],392.21
2002,Alberta,Service supervisors and specialized service occupations [63],402.43
2003,Alberta,Service supervisors and specialized service occupations [63],413.77
2004,Alberta,Service supervisors and specialized service occupations [63],410.47
2005,Alberta,Service supervisors and specialized service occupations [63],462.13
2006,Alberta,Service supervisors and specialized service occupations [63],466.14
2007,Alberta,Service supervisors and specialized service occupations [63],513.95
2008,Alberta,Service supervisors and specialized service occupations [63],551.88
2009,Alberta,Service supervisors and specialized service occupations [63],565.87
2010,Alberta,Service supervisors and specialized service occupations [63],582.42
2011,Alberta,Service supervisors and specialized service occupations [63],563.77
2012,Alberta,Service supervisors and specialized service occupations [63],627.17
2013,Alberta,Service supervisors and specialized service occupations [63],626.16
2014,Alberta,Service supervisors and specialized service occupations [63],640.36
2015,Alberta,Service supervisors and specialized service occupations [63],651.74
2016,Alberta,Service supervisors and specialized service occupations [63],643.52
2017,Alberta,Service supervisors and specialized service occupations [63],656.31
2018,Alberta,Service supervisors and specialized service occupations [63],693.16
1997,Alberta,Sales representatives and salespersons - wholesale and retail trade [64],347.28
1998,Alberta,Sales representatives and salespersons - wholesale and retail trade [64],357.3
1999,Alberta,Sales representatives and salespersons - wholesale and retail trade [64],382.79
2000,Alberta,Sales representatives and salespersons - wholesale and retail trade [64],403.06
2001,Alberta,Sales representatives and salespersons - wholesale and retail trade [64],408.68
2002,Alberta,Sales representatives and salespersons - wholesale and retail trade [64],441.52
2003,Alberta,Sales representatives and salespersons - wholesale and retail trade [64],431.03
2004,Alberta,Sales representatives and salespersons - wholesale and retail trade [64],444.75
2005,Alberta,Sales representatives and salespersons - wholesale and retail trade [64],454.97
2006,Alberta,Sales representatives and salespersons - wholesale and retail trade [64],535.71
2007,Alberta,Sales representatives and salespersons - wholesale and retail trade [64],602.77
2008,Alberta,Sales representatives and salespersons - wholesale and retail trade [64],596.15
2009,Alberta,Sales representatives and salespersons - wholesale and retail trade [64],580.03
2010,Alberta,Sales representatives and salespersons - wholesale and retail trade [64],611.6
2011,Alberta,Sales representatives and salespersons - wholesale and retail trade [64],593.07
2012,Alberta,Sales representatives and salespersons - wholesale and retail trade [64],619.25
2013,Alberta,Sales representatives and salespersons - wholesale and retail trade [64],696.16
2014,Alberta,Sales representatives and salespersons - wholesale and retail trade [64],687.58
2015,Alberta,Sales representatives and salespersons - wholesale and retail trade [64],749.53
2016,Alberta,Sales representatives and salespersons - wholesale and retail trade [64],696.58
2017,Alberta,Sales representatives and salespersons - wholesale and retail trade [64],707.47
2018,Alberta,Sales representatives and salespersons - wholesale and retail trade [64],723.31
1997,Alberta,Service representatives and other customer and personal services occupations [65],329.88
1998,Alberta,Service representatives and other customer and personal services occupations [65],347.01
1999,Alberta,Service representatives and other customer and personal services occupations [65],337.63
2000,Alberta,Service representatives and other customer and personal services occupations [65],354.41
2001,Alberta,Service representatives and other customer and personal services occupations [65],374.35
2002,Alberta,Service representatives and other customer and personal services occupations [65],372.51
2003,Alberta,Service representatives and other customer and personal services occupations [65],381.78
2004,Alberta,Service representatives and other customer and personal services occupations [65],381.16
2005,Alberta,Service representatives and other customer and personal services occupations [65],431.51
2006,Alberta,Service representatives and other customer and personal services occupations [65],448.65
2007,Alberta,Service representatives and other customer and personal services occupations [65],482.59
2008,Alberta,Service representatives and other customer and personal services occupations [65],510.98
2009,Alberta,Service representatives and other customer and personal services occupations [65],524.02
2010,Alberta,Service representatives and other customer and personal services occupations [65],513.03
2011,Alberta,Service representatives and other customer and personal services occupations [65],534.82
2012,Alberta,Service representatives and other customer and personal services occupations [65],556.99
2013,Alberta,Service representatives and other customer and personal services occupations [65],564.71
2014,Alberta,Service representatives and other customer and personal services occupations [65],542.8
2015,Alberta,Service representatives and other customer and personal services occupations [65],600.72
2016,Alberta,Service representatives and other customer and personal services occupations [65],553.97
2017,Alberta,Service representatives and other customer and personal services occupations [65],576.29
2018,Alberta,Service representatives and other customer and personal services occupations [65],631.05
1997,Alberta,Sales support occupations [66],215.54
1998,Alberta,Sales support occupations [66],215.12
1999,Alberta,Sales support occupations [66],231.37
2000,Alberta,Sales support occupations [66],214.4
2001,Alberta,Sales support occupations [66],228.29
2002,Alberta,Sales support occupations [66],234.41
2003,Alberta,Sales support occupations [66],240.6
2004,Alberta,Sales support occupations [66],251.46
2005,Alberta,Sales support occupations [66],274.61
2006,Alberta,Sales support occupations [66],283.91
2007,Alberta,Sales support occupations [66],323.29
2008,Alberta,Sales support occupations [66],340.94
2009,Alberta,Sales support occupations [66],340.97
2010,Alberta,Sales support occupations [66],331.84
2011,Alberta,Sales support occupations [66],349.73
2012,Alberta,Sales support occupations [66],370.46
2013,Alberta,Sales support occupations [66],364.19
2014,Alberta,Sales support occupations [66],381.21
2015,Alberta,Sales support occupations [66],368.67
2016,Alberta,Sales support occupations [66],366.49
2017,Alberta,Sales support occupations [66],391.62
2018,Alberta,Sales support occupations [66],432.04
1997,Alberta,"Service support and other service occupations, n.e.c. [67]",262.89
1998,Alberta,"Service support and other service occupations, n.e.c. [67]",266.75
1999,Alberta,"Service support and other service occupations, n.e.c. [67]",272.19
2000,Alberta,"Service support and other service occupations, n.e.c. [67]",284.59
2001,Alberta,"Service support and other service occupations, n.e.c. [67]",287.5
2002,Alberta,"Service support and other service occupations, n.e.c. [67]",307.87
2003,Alberta,"Service support and other service occupations, n.e.c. [67]",297.86
2004,Alberta,"Service support and other service occupations, n.e.c. [67]",315.68
2005,Alberta,"Service support and other service occupations, n.e.c. [67]",343.72
2006,Alberta,"Service support and other service occupations, n.e.c. [67]",361.48
2007,Alberta,"Service support and other service occupations, n.e.c. [67]",399.44
2008,Alberta,"Service support and other service occupations, n.e.c. [67]",422.62
2009,Alberta,"Service support and other service occupations, n.e.c. [67]",431.2
2010,Alberta,"Service support and other service occupations, n.e.c. [67]",442.76
2011,Alberta,"Service support and other service occupations, n.e.c. [67]",462.82
2012,Alberta,"Service support and other service occupations, n.e.c. [67]",491.45
2013,Alberta,"Service support and other service occupations, n.e.c. [67]",497.2
2014,Alberta,"Service support and other service occupations, n.e.c. [67]",483.89
2015,Alberta,"Service support and other service occupations, n.e.c. [67]",469.93
2016,Alberta,"Service support and other service occupations, n.e.c. [67]",498.08
2017,Alberta,"Service support and other service occupations, n.e.c. [67]",485.5
2018,Alberta,"Service support and other service occupations, n.e.c. [67]",505.04
1997,Alberta,"Trades, transport and equipment operators and related occupations [7]",635.66
1998,Alberta,"Trades, transport and equipment operators and related occupations [7]",667.74
1999,Alberta,"Trades, transport and equipment operators and related occupations [7]",664.46
2000,Alberta,"Trades, transport and equipment operators and related occupations [7]",707.05
2001,Alberta,"Trades, transport and equipment operators and related occupations [7]",757.4
2002,Alberta,"Trades, transport and equipment operators and related occupations [7]",768.66
2003,Alberta,"Trades, transport and equipment operators and related occupations [7]",784.52
2004,Alberta,"Trades, transport and equipment operators and related occupations [7]",803.9
2005,Alberta,"Trades, transport and equipment operators and related occupations [7]",854.33
2006,Alberta,"Trades, transport and equipment operators and related occupations [7]",931.29
2007,Alberta,"Trades, transport and equipment operators and related occupations [7]",952.29
2008,Alberta,"Trades, transport and equipment operators and related occupations [7]",1004.41
2009,Alberta,"Trades, transport and equipment operators and related occupations [7]",1046.77
2010,Alberta,"Trades, transport and equipment operators and related occupations [7]",1074.81
2011,Alberta,"Trades, transport and equipment operators and related occupations [7]",1115.97
2012,Alberta,"Trades, transport and equipment operators and related occupations [7]",1170.39
2013,Alberta,"Trades, transport and equipment operators and related occupations [7]",1198.34
2014,Alberta,"Trades, transport and equipment operators and related occupations [7]",1235.27
2015,Alberta,"Trades, transport and equipment operators and related occupations [7]",1255.06
2016,Alberta,"Trades, transport and equipment operators and related occupations [7]",1253.71
2017,Alberta,"Trades, transport and equipment operators and related occupations [7]",1292.61
2018,Alberta,"Trades, transport and equipment operators and related occupations [7]",1274.43
1997,Alberta,"Industrial, electrical and construction trades [72]",663.77
1998,Alberta,"Industrial, electrical and construction trades [72]",706.26
1999,Alberta,"Industrial, electrical and construction trades [72]",733.65
2000,Alberta,"Industrial, electrical and construction trades [72]",760.36
2001,Alberta,"Industrial, electrical and construction trades [72]",820.49
2002,Alberta,"Industrial, electrical and construction trades [72]",844.31
2003,Alberta,"Industrial, electrical and construction trades [72]",833.06
2004,Alberta,"Industrial, electrical and construction trades [72]",855.45
2005,Alberta,"Industrial, electrical and construction trades [72]",906.55
2006,Alberta,"Industrial, electrical and construction trades [72]",970.94
2007,Alberta,"Industrial, electrical and construction trades [72]",1007.15
2008,Alberta,"Industrial, electrical and construction trades [72]",1080.81
2009,Alberta,"Industrial, electrical and construction trades [72]",1144.07
2010,Alberta,"Industrial, electrical and construction trades [72]",1184.31
2011,Alberta,"Industrial, electrical and construction trades [72]",1210.33
2012,Alberta,"Industrial, electrical and construction trades [72]",1266.67
2013,Alberta,"Industrial, electrical and construction trades [72]",1300.05
2014,Alberta,"Industrial, electrical and construction trades [72]",1349.57
2015,Alberta,"Industrial, electrical and construction trades [72]",1339.86
2016,Alberta,"Industrial, electrical and construction trades [72]",1397.7
2017,Alberta,"Industrial, electrical and construction trades [72]",1399.3
2018,Alberta,"Industrial, electrical and construction trades [72]",1368.58
1997,Alberta,Maintenance and equipment operation trades [73],710.3
1998,Alberta,Maintenance and equipment operation trades [73],768.63
1999,Alberta,Maintenance and equipment operation trades [73],765.75
2000,Alberta,Maintenance and equipment operation trades [73],817.07
2001,Alberta,Maintenance and equipment operation trades [73],819.76
2002,Alberta,Maintenance and equipment operation trades [73],874.47
2003,Alberta,Maintenance and equipment operation trades [73],886.77
2004,Alberta,Maintenance and equipment operation trades [73],936.22
2005,Alberta,Maintenance and equipment operation trades [73],976.98
2006,Alberta,Maintenance and equipment operation trades [73],1065.65
2007,Alberta,Maintenance and equipment operation trades [73],1099.96
2008,Alberta,Maintenance and equipment operation trades [73],1138.47
2009,Alberta,Maintenance and equipment operation trades [73],1178.29
2010,Alberta,Maintenance and equipment operation trades [73],1230.16
2011,Alberta,Maintenance and equipment operation trades [73],1246.27
2012,Alberta,Maintenance and equipment operation trades [73],1323.14
2013,Alberta,Maintenance and equipment operation trades [73],1391.02
2014,Alberta,Maintenance and equipment operation trades [73],1383.13
2015,Alberta,Maintenance and equipment operation trades [73],1453.55
2016,Alberta,Maintenance and equipment operation trades [73],1453.5
2017,Alberta,Maintenance and equipment operation trades [73],1469.77
2018,Alberta,Maintenance and equipment operation trades [73],1505.83
1997,Alberta,"Other installers, repairers and servicers and material handlers [74]",481.95
1998,Alberta,"Other installers, repairers and servicers and material handlers [74]",460.58
1999,Alberta,"Other installers, repairers and servicers and material handlers [74]",479.19
2000,Alberta,"Other installers, repairers and servicers and material handlers [74]",513.98
2001,Alberta,"Other installers, repairers and servicers and material handlers [74]",514.47
2002,Alberta,"Other installers, repairers and servicers and material handlers [74]",532.23
2003,Alberta,"Other installers, repairers and servicers and material handlers [74]",551.85
2004,Alberta,"Other installers, repairers and servicers and material handlers [74]",537.6
2005,Alberta,"Other installers, repairers and servicers and material handlers [74]",597.9
2006,Alberta,"Other installers, repairers and servicers and material handlers [74]",654.35
2007,Alberta,"Other installers, repairers and servicers and material handlers [74]",660.33
2008,Alberta,"Other installers, repairers and servicers and material handlers [74]",676.41
2009,Alberta,"Other installers, repairers and servicers and material handlers [74]",701.95
2010,Alberta,"Other installers, repairers and servicers and material handlers [74]",721.12
2011,Alberta,"Other installers, repairers and servicers and material handlers [74]",780.8
2012,Alberta,"Other installers, repairers and servicers and material handlers [74]",822.05
2013,Alberta,"Other installers, repairers and servicers and material handlers [74]",831.6
2014,Alberta,"Other installers, repairers and servicers and material handlers [74]",855.13
2015,Alberta,"Other installers, repairers and servicers and material handlers [74]",880.14
2016,Alberta,"Other installers, repairers and servicers and material handlers [74]",835.21
2017,Alberta,"Other installers, repairers and servicers and material handlers [74]",966.82
2018,Alberta,"Other installers, repairers and servicers and material handlers [74]",921.08
1997,Alberta,Transport and heavy equipment operation and related maintenance occupations [75],632.78
1998,Alberta,Transport and heavy equipment operation and related maintenance occupations [75],658.68
1999,Alberta,Transport and heavy equipment operation and related maintenance occupations [75],606.46
2000,Alberta,Transport and heavy equipment operation and related maintenance occupations [75],658.15
2001,Alberta,Transport and heavy equipment operation and related maintenance occupations [75],748.23
2002,Alberta,Transport and heavy equipment operation and related maintenance occupations [75],716.14
2003,Alberta,Transport and heavy equipment operation and related maintenance occupations [75],768.04
2004,Alberta,Transport and heavy equipment operation and related maintenance occupations [75],767.64
2005,Alberta,Transport and heavy equipment operation and related maintenance occupations [75],856.43
2006,Alberta,Transport and heavy equipment operation and related maintenance occupations [75],917.78
2007,Alberta,Transport and heavy equipment operation and related maintenance occupations [75],920.64
2008,Alberta,Transport and heavy equipment operation and related maintenance occupations [75],973.2
2009,Alberta,Transport and heavy equipment operation and related maintenance occupations [75],955.44
2010,Alberta,Transport and heavy equipment operation and related maintenance occupations [75],990.43
2011,Alberta,Transport and heavy equipment operation and related maintenance occupations [75],1067.14
2012,Alberta,Transport and heavy equipment operation and related maintenance occupations [75],1079.75
2013,Alberta,Transport and heavy equipment operation and related maintenance occupations [75],1126.25
2014,Alberta,Transport and heavy equipment operation and related maintenance occupations [75],1140.6
2015,Alberta,Transport and heavy equipment operation and related maintenance occupations [75],1154.64
2016,Alberta,Transport and heavy equipment operation and related maintenance occupations [75],1083.46
2017,Alberta,Transport and heavy equipment operation and related maintenance occupations [75],1173.21
2018,Alberta,Transport and heavy equipment operation and related maintenance occupations [75],1143.91
1997,Alberta,"Trades helpers, construction labourers and related occupations [76]",498.37
1998,Alberta,"Trades helpers, construction labourers and related occupations [76]",490.74
1999,Alberta,"Trades helpers, construction labourers and related occupations [76]",508.82
2000,Alberta,"Trades helpers, construction labourers and related occupations [76]",511.64
2001,Alberta,"Trades helpers, construction labourers and related occupations [76]",581.25
2002,Alberta,"Trades helpers, construction labourers and related occupations [76]",567.61
2003,Alberta,"Trades helpers, construction labourers and related occupations [76]",588.33
2004,Alberta,"Trades helpers, construction labourers and related occupations [76]",616.49
2005,Alberta,"Trades helpers, construction labourers and related occupations [76]",593.62
2006,Alberta,"Trades helpers, construction labourers and related occupations [76]",685.7
2007,Alberta,"Trades helpers, construction labourers and related occupations [76]",723.23
2008,Alberta,"Trades helpers, construction labourers and related occupations [76]",769.57
2009,Alberta,"Trades helpers, construction labourers and related occupations [76]",842.72
2010,Alberta,"Trades helpers, construction labourers and related occupations [76]",845.12
2011,Alberta,"Trades helpers, construction labourers and related occupations [76]",901.6
2012,Alberta,"Trades helpers, construction labourers and related occupations [76]",882.06
2013,Alberta,"Trades helpers, construction labourers and related occupations [76]",901.79
2014,Alberta,"Trades helpers, construction labourers and related occupations [76]",959.06
2015,Alberta,"Trades helpers, construction labourers and related occupations [76]",1007.06
2016,Alberta,"Trades helpers, construction labourers and related occupations [76]",967.41
2017,Alberta,"Trades helpers, construction labourers and related occupations [76]",934.73
2018,Alberta,"Trades helpers, construction labourers and related occupations [76]",975.77
1997,Alberta,"Natural resources, agriculture and related production occupations [8]",638.8
1998,Alberta,"Natural resources, agriculture and related production occupations [8]",623.28
